MS_ID	Groudtruth
299	Waters|LC
300	Waters|LC
305	Waters|LC
308	Waters|LC
418	Waters|LC
423	Waters|LC
367	Waters|FD
370	Waters|FD
371	Waters|FD
375	Waters|FD
378	Waters|FD
379	Waters|FD
390	Waters|FD
391	Waters|FD
396	Waters|FD
405	Waters|FD
407	Waters|FD
417	Waters|FD
424	Waters|FD
426	Waters|FD
427	Waters|FD
430	Waters|FD
433	Waters|FD
438	Waters|FD
323	Waters|FC
326	Waters|FC
329	Waters|FC
331	Waters|FC
333	Waters|FC
348	Waters|FC
399	Waters|FC
402	Waters|FC
410	Waters|FC
415	Waters|FC
420	Waters|FC
