MS_ID	Groudtruth
18	Waters|LC
19	Waters|LC
20	Waters|LC
21	Waters|LC
22	Waters|LC
23	Waters|LC
24	Waters|LC
25	Waters|LC
26	Waters|LC
27	Waters|LC
28	Waters|LC
29	Waters|LC
30	Waters|LC
31	Waters|LC
32	Waters|LC
33	Waters|LC
34	Waters|LC
35	Waters|LC
36	Waters|LC
37	Waters|LC
38	Waters|LC
39	Waters|LC
40	Waters|LC
41	Waters|LC
42	Waters|LC
43	Waters|LC
44	Waters|FD
45	Waters|FD
46	Waters|FD
47	Waters|FD
48	Waters|FD
49	Waters|FD
50	Waters|FD
51	Waters|FD
52	Waters|FD
53	Waters|FD
54	Waters|FD
55	Waters|FD
56	Waters|FC
57	Waters|FC
58	Waters|FC
59	Waters|FC
60	Waters|FC
61	Waters|FC
62	Waters|FC
63	Waters|FC
64	Waters|FC
65	Waters|FC
66	Waters|FC
67	Waters|FC
68	Waters|FC
