id	seq_name	precmass_offset	#matched peaks
18	Waters|LC	0	26
19	Waters|LC	1	23
20	Waters|FC	0	5
21	Waters|LC	0	10
22	Waters|LC	0	8
23	Waters|LC	0	14
24	Waters|LC	0	7
25	Waters|FC	0	8
26	Waters|FC	1	10
27	Waters|FC	1	10
28	Waters|FC	0	11
29	Waters|LC	1	10
30	Waters|FC	0	9
31	Waters|LC	0	9
32	Waters|FC	0	12
33	Waters|FC	0	9
34	Waters|FC	0	8
35	Waters|LC	0	13
36	Waters|FC	0	12
37	Waters|LC	1	14
38	Waters|LC	0	9
39	Waters|LC	0	10
40	Waters|FC	0	8
41	Waters|LC	0	9
42	Waters|LC	1	9
43	Waters|LC	0	9
44	Waters|FD	1	33
45	Waters|FD	1	23
46	Waters|FD	1	21
47	Waters|FD	0	12
48	Waters|FD	1	11
49	Waters|FD	0	9
50	Waters|FD	0	20
51	Waters|FD	0	20
52	Waters|FD	0	11
53	Waters|FD	0	7
54	Waters|FD	0	14
55	Waters|FD	0	13
56	Waters|FC	1	41
57	Waters|FC	0	27
58	Waters|FC	1	33
59	Waters|FC	1	26
60	Waters|FC	1	27
61	Waters|FC	1	29
62	Waters|FC	0	16
63	Waters|FC	0	16
64	Waters|FC	1	32
65	Waters|FC	1	36
66	Waters|FC	1	20
67	Waters|FC	1	19
68	Waters|FC	1	25
Spectra Processed, LCS-Alignment Finished 7.8164s
